name,address,type,lat,lon
Woffles Wu Aesthetic Surgery & Laser Centre,"1 Orchard Blvd, Singapore",doctor,1.302969,103.824062
Innovative Diagnostics Pte Ltd,"1 Orchard Boulevard, #04-06/08/06, Singapore",health,1.302658,103.8238
Back Care Chiropractic Centre Pte Ltd,"1 Orchard Boulevard, #07-06, Singapore",health,1.302658,103.8238
The Plastic & Hand Surgery Pte Ltd,"1 Orchard Boulevard, #12-01/02, Singapore",doctor,1.302658,103.8238
The Oral Maxillofacial Practice,"1 Orchard Boulevard, #10-04, Singapore",doctor,1.302658,103.8238
Xin Wang Taiwan Street Food,"2 Orchard Link, Singapore",restaurant,1.30256,103.82445
Isabelle Yeoh Aesthetic Clinic,"Camden Medical Centre, Singapore",health,1.302915,103.823955
Ivor J. Lim MedSpa Pte. Ltd.,"1 Orchard Boulevard, #12-01, Singapore",beauty_salon,1.302658,103.8238
Steve Seah Eye Centre Pte. Ltd,"1 Orchard Boulevard, #16-01/02, Singapore",health,1.302658,103.8238
SSR International Pte Ltd,"1 Orchard Boulevard, #06-07, Singapore",doctor,1.302658,103.8238
The Lifestyle Clinic,"16 Orchard Blvd, Singapore",health,1.302904,103.825049
Meditest Switzerland Pte Ltd,"2 Orchard Blvd, Singapore",pharmacy,1.302344,103.824214
New Balance - 290 Orchard Road,"L\'escape Beaute, 290 Orchard Road, Singapore",store,1.302554,103.824459
The Cocoa Trees - 290 Orchard Road,"L\'escape Beaute, 290 Orchard Rd, Singapore",grocery_or_supermarket,1.302559,103.824451
Fuel Accessory Services Technologies Pte Ltd,"8 Loyang Way 4, Singapore",car_repair,1.377829,103.97712
Pca Technology Pte Ltd,"4 Loyang Ln, Singapore",electronics_store,1.37203,103.97235
CyberFusion Technologies Pte Ltd,"Blk 30 Loyang Way, #07-17, Loyang Industrial Estate, Singapore",electronics_store,1.372066,103.971689
Aerogaz (S) Pte Ltd,"1 Loyang Way 1, Singapore",home_goods_store,1.374322,103.972275
Photronics Singapore Pte Ltd,"6 Loyang Way 2, Singapore",electronics_store,1.37541,103.975267
Hope Ambulance Services Pte. Ltd.,"2 Loyang Lane, #03-01, Singapore",health,1.370894,103.971689
Hitachi Chemical (Singapore) Pte Ltd (HCS),"32 Loyang Way, Singapore",electronics_store,1.374298,103.972971
Dashmesh Singapore Pte. Ltd.,"19 Loyang Way, Singapore",food,1.376453,103.972563
Preferred Choice Food Management,"32 Loyang Way, Singapore",food,1.374016,103.973238
AGX Logistics (S) Pte Ltd,"19 Loyang Way, Singapore",storage,1.376453,103.972563
"C.H. Robinson Worldwide, Inc.","19 Loyang Way, Singapore",storage,1.376453,103.972563
Chew\'s Group Limited,"20 Murai Farmway, Singapore",grocery_or_supermarket,1.392448,103.696197
Jim Thompson,"45 Minden Rd, Singapore",restaurant,1.305398,103.815561
Long Beach @ Dempsey,"25 Dempsey Road, #01-01, Singapore",restaurant,1.306234,103.812207
Halia,"1 Cluny Road, Singapore Botanic Garden, Singapore",restaurant,1.310944,103.815019
Samy\'s Curry Restaurant,"25 Dempsey Rd, Singapore",restaurant,1.306131,103.811822
The Disgruntled Chef,"26B Dempsey Rd, Singapore",cafe,1.305555,103.811413
Chang Korean Charcoal Food,"18 Dempsey Rd, Singapore",restaurant,1.306013,103.810561
